condition_grouper_name,condition_grouper_canonical_url,condition_grouper_version,coverage_level,coverage_reason,coverage_date,rsg_count,rsgs,acg_count,acgs,unresolved_count,unresolved_refs,total_rsg_codes,total_acg_codes,total_codes_in_cg,expansion_code_count,expansion_vs_composition
Severe Combined Immunodeficiency,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/9102478e-941c-420a-9b6c-d8fd2c7ced92,6.0.0,,,,1,31323000 Severe Combined Immunodeficiency (76 codes),0,,0,,76,0,76,76,match
Shigellosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/28598028-951c-4279-a3c9-fc8df94e5acf,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,1,36188001 Shigellosis (770 codes),2,Shigellosis Additional Context Symptom Codes (35 codes) | Shigellosis Additional Context Specimen Source Codes (2 codes),0,,770,37,807,807,match
Sickle Cell Anemia (Hemoglobin SS Disease),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/5e4e24ea-89ea-46ed-8b8c-b6d7c99e1eb7,6.0.0,,,,1,127040003 Sickle Cell Anemia (Hemoglobin SS Disease) (85 codes),0,,0,,85,0,85,85,match
Silicosis or pneumoconiosis due to dust containing silica,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/e838c675-ff3e-415c-bef9-3a0c691e112b,6.0.0,,,,1,805002 Silicosis or pneumoconiosis due to dust containing silica (5802 codes),0,,0,,5802,0,5802,5802,match
Single Ventricle,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/4786ffc8-1652-47df-90a5-8271f3716438,6.0.0,,,,1,45503006 Single Ventricle (42 codes),0,,0,,42,0,42,42,match
Small Intestinal Atresia and Stenosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/82d1a8a6-6e25-4f22-b3f7-715fa3e0ef80,6.0.0,,,,1,204691002 Small Intestinal Atresia and Stenosis (30 codes),0,,0,,30,0,30,30,match
Smallpox,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/cdd2d02c-daef-4c2a-93be-09e77b2e4690,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,1,67924001 Smallpox (823 codes),2,Smallpox Additional Context Immunization Codes (24 codes) | Smallpox Additional Context Medication Codes (63 codes),0,,823,87,910,910,match
Snowshoe hare virus disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/3109dae8-52a3-4d9d-a9b9-96e4269cd219,6.0.0,,,,1,404236003 Snowshoe hare virus disease (476 codes),0,,0,,476,0,476,476,match
Soil-Transmitted Helminth Infections,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/20fae6ef-1f02-4a6f-9ac6-ad26d1a7d2bb,6.0.0,,,,1,1382227005 Soil-Transmitted Helminth Infections (570 codes),0,,0,,570,0,570,570,match
Spina Bifida,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/6e10bc0a-a8a4-42ff-837c-bf9ff8b878b9,6.0.0,,,,1,67531005 Spina Bifida (106 codes),0,,0,,106,0,106,106,match
Spinal Muscular Atrophy,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/99e1f199-c5e7-440f-88e3-5a792c718fae,6.0.0,,,,1,5262007 Spinal Muscular Atrophy (53 codes),0,,0,,53,0,53,53,match
Spotted Fever Rickettsiosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/b653b10b-31da-477e-9494-73dfc150d84c,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,1,186771002 Spotted Fever Rickettsiosis (804 codes),1,Spotted Fever Rickettsiosis Additional Context Clinical Lab Result Codes (5 codes),0,,804,5,809,809,match
St. Louis Encephalitis Virus Infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/3bf02bbb-b52f-44e1-9016-50de900608ed,6.0.0,,,,2,416129000 St. Louis Encephalitis Virus Infection (172 codes) | 417192005 St. Louis Encephalitis Virus Infection (523 codes),0,,0,,523,0,523,523,match
Staphylococcal Disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/8c68e1e9-691d-47b4-9aaf-095f1b4b89ea,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,2,406602003 Staphylococcus aureus Infection (1043 codes) | 419488004 Staphylococcal Enterotoxin B Poisoning (98 codes),1,Staphylococcal Disease Additional Context Diagnosis Codes (2 codes),0,,1067,2,1069,1069,match
Streptoccal Disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/58980eef-1861-4ea0-95a6-486f57acf2da,6.0.0,complete,,2026-02-24T00:00:00-07:00,5,"406612005 Streptococcal disease, invasive, Group B (746 codes) | 406614006 Streptococcal disease, invasive, Group A (853 codes) | 406610002 Streptococcal disease, invasive (476 codes) | 240451000 Streptococcal Toxic Shock Syndrome (1424 codes) | 406617004 Invasive Pneumococcal Disease (974 codes)",6,Streptococcal Disease Additional Context Diagnosis Codes (10348 codes) | Streptococcal Disease Additional Context Specimen Source Codes (2 codes) | Streptococcal Disease Additional Context Symptom Codes (2728 codes) | Streptococcal Disease Additional Context Medication Codes (6950 codes) | Streptococcal Disease Additional Context Clinical Lab Result Codes (550 codes) | Streptococcal Disease Additional Context Immunization Codes (185 codes),0,,1841,20686,22278,22278,match
Strongyloidiasis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/b7013449-4536-4626-89c5-0bbfa4a9d92e,6.0.0,,,,1,1214006 Strongyloidiasis (631 codes),0,,0,,631,0,631,631,match
Suicide,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/633dd1b0-3674-4a55-adf2-381031e21a2f,6.0.0,,,,1,44301001 Suicide (19 codes),0,,0,,19,0,19,19,match
Surgical Site Infection (SSI),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/74bc9530-adb7-41c4-a8d3-ee51f32caf4b,6.0.0,,,,1,433202001 Surgical Site Infection (SSI) (37 codes),0,,0,,37,0,37,37,match
Syphilis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/78356523-0253-421c-8230-a41bc7c44199,6.0.0,complete,,2025-10-01T00:00:00-06:00,2,"35742006 Syphilis, Congenital (858 codes) | 76272004 Syphilis (1117 codes)",5,Syphilis Additional Context Diagnosis Codes (2207 codes) | Syphilis Additional Context Specimen Source Codes (6 codes) | Syphilis Additional Context Clinical Lab Result Codes (3449 codes) | Syphilis Additional Context Symptom Codes (2565 codes) | Syphilis Additional Context Medication Codes (61 codes),0,,1158,8288,9436,9436,match
Taeniasis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/2a59d8cc-f7a6-4ca0-b653-56f7b8117a1d,6.0.0,,,,1,76172008 Taeniasis (597 codes),0,,0,,597,0,597,597,match
Tetanus,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/5ef98371-5cad-423a-9927-3399eeb036f8,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,1,76902006 Tetanus (467 codes),2,Tetanus Additional Context Immunization Codes (200 codes) | Tetanus Additional Context Medication Codes (266 codes),0,,467,466,933,933,match
Tetralogy of Fallot (TOF),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/d41c1a46-d0ae-45ee-9bd5-f3aa3e925935,6.0.0,,,,1,86299006 Tetralogy of Fallot (TOF) (14 codes),0,,0,,14,0,14,14,match
Tick Paralysis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/1160dd9a-326e-4535-a64c-aeef10f6f16d,6.0.0,,,,1,74225001 Tick Paralysis (182 codes),0,,0,,182,0,182,182,match
Tickborne relapsing fever (TBRF),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/0854d4c1-ea7d-464a-b055-be44c2cc24b9,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,1,10301003 Tickborne relapsing fever (TBRF) (1293 codes),1,Tickborne relapsing fever (TBRF) Additional Context Clinical Lab Result Codes (5 codes),0,,1293,5,1298,1298,match
Total Anomalous Pulmonary Venous Connection (TAPVC),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/1fc0195d-50c9-40cb-902a-a7c39d9d2c28,6.0.0,,,,1,111323005 Total Anomalous Pulmonary Venous Connection (TAPVC) (14 codes),0,,0,,14,0,14,14,match
Toxoplasmosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/2ad82970-993d-4054-9520-7e4e8b0586ee,6.0.0,,,,1,187192000 Toxoplasmosis (1805 codes),0,,0,,1805,0,1805,1805,match
Transposition of the Great Arteries (TGA),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/d5630219-494d-4738-99d5-b6ed0dcb2ee2,6.0.0,,,,1,204296002 Transposition of the Great Arteries (TGA) (16 codes),0,,0,,16,0,16,16,match
Trichinellosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/61407f5e-9c6f-4b1f-a31b-1defe360f3ca,6.0.0,,,,1,709018004 Trichinellosis (739 codes),0,,0,,739,0,739,739,match
Tricuspid Valve Atresia and Stenosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/b68ce8a6-8305-43fc-b7fa-4303cf4b371a,6.0.0,,,,1,4374004 Tricuspid Valve Atresia and Stenosis (18 codes),0,,0,,18,0,18,18,match
Trisomy 13,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/be1ff23d-11e1-4cc4-8078-22f130bd3724,6.0.0,,,,1,21111006 Trisomy 13 (619 codes),0,,0,,619,0,619,619,match
Trisomy 18,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/c321ff25-292e-4e43-88c5-af0b8675f733,6.0.0,,,,1,51500006 Trisomy 18 (615 codes),0,,0,,615,0,615,615,match
Trivittatus virus disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/2e05140b-e3ab-4ea6-b613-32271a808e21,6.0.0,,,,1,240507007 Trivittatus virus disease (465 codes),0,,0,,465,0,465,465,match
Truncus Arteriosus (Common Truncus),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/4ef25df5-ec01-41b4-964b-f28b29c340ef,6.0.0,,,,1,61959006 Truncus Arteriosus (Common Truncus) (19 codes),0,,0,,19,0,19,19,match
Tuberculosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/ef5b6d5c-bc9e-4ad2-a2b4-d50abe8d8cfd,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,2,"56717001 Tuberculosis (1878 codes) | 11999007 Tuberculosis, Latent Infection (LTBI) (99 codes)",2,Tuberculosis Additional Context Diagnosis Codes (3 codes) | Tuberculosis Additional Context Medication Codes (473 codes),0,,1887,476,2362,2362,match
Tularemia,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/21bdb69a-643e-405a-9a29-ef67fe9aeb1b,6.0.0,,,,1,19265001 Tularemia (535 codes),0,,0,,535,0,535,535,match
Typhus Fever,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/682309da-ae46-4d83-84ac-4428881bc614,6.0.0,,,,1,240613006 Typhus Fever (914 codes),0,,0,,914,0,914,914,match
Vaccine Adverse Event,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/f5a1b09b-b30b-4ecf-a5cd-46316e605da3,6.0.0,,,,1,293104008 Vaccine Adverse Event (467 codes),0,,0,,467,0,467,467,match
Vaccinia Disease or Adverse Event,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/1e362aa1-bc25-47a7-ab90-789c39c07765,6.0.0,,,,1,409636005 Vaccinia Disease or Adverse Event (1085 codes),0,,0,,1085,0,1085,1085,match
Vancomycin-resistant Organisms,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/e9f6806a-0ee6-49c7-9d40-422c1829848d,6.0.0,,,,3,406575008 Vancomycin-resistant Enterococci (VRE) Infection (551 codes) | 406604002 Vancomycin-intermediate Staphylococcus aureus (VISA) (506 codes) | 404681006 Vancomycin-resistant Staphylococcus aureus (VRSA) (516 codes),0,,0,,608,0,608,608,match
Varicella,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/be274630-9c08-4d85-8af6-d4b7664cf39a,6.0.0,complete,,2026-02-24T00:00:00-07:00,1,38907003 Varicella (882 codes),5,Varicella Additional Context Diagnosis Codes (1920 codes) | Varicella Additional Context Clinical Lab Result Codes (141 codes) | Varicella Additional Context Medication Codes (7085 codes) | Varicella Additional Context Immunization Codes (28 codes) | Varicella Additional Context Symptom Codes (3245 codes),0,,882,12404,13161,13161,match
Ventilator-associated Event (VAE),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/5fa38c95-b9e4-4573-9576-763a0042b9ec,6.0.0,,,,1,71695001 Ventilator-associated Event (VAE) (13 codes),0,,0,,13,0,13,13,match
Ventricular septal defect,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/5d6451b8-26f2-485e-9745-a4102849c822,6.0.0,,,,1,768552007 Ventricular septal defect (78 codes),0,,0,,78,0,78,78,match
Vesicular Stomatitis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/10733322-695b-4e69-94e2-9e7600da87fd,6.0.0,,,,1,36921006 Vesicular Stomatitis (502 codes),0,,0,,502,0,502,502,match
Vibriosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/6c565524-1651-4372-b298-7f6a748c9f6e,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,1,398557001 Vibriosis (1578 codes),1,Vibriosis Additional Context Symptom Codes (53 codes),0,,1578,53,1631,1631,match
Viral Hemorrhagic Fever (VHF),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/d31c9509-3646-4725-a8c2-ec10701dca3a,6.0.0,,,,1,240523007 Viral Hemorrhagic Fever (VHF) (2272 codes),0,,0,,2272,0,2272,2272,match
West Nile Virus Infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/3e8a8c05-3a36-4348-9c52-1db3c060972c,6.0.0,,,,1,417093003 West Nile Virus Infection (539 codes),0,,0,,539,0,539,539,match
Western equine encephalitis virus disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/94bb1d9a-5ef2-4e5b-bea3-a39347de37ce,6.0.0,,,,1,47523006 Western equine encephalitis virus disease (516 codes),0,,0,,516,0,516,516,match
Work-related Asthma (WRA),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/af4790a3-ba2e-419e-ac3d-d0e024399ca9,6.0.0,,,,1,57607007 Work-related Asthma (WRA) (269 codes),0,,0,,269,0,269,269,match
X-linked Adrenoleukodystrophy,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/88f42380-dbd8-4d61-b67f-8dfc962a2413,6.0.0,,,,1,65389002 X-linked Adrenoleukodystrophy (94 codes),0,,0,,94,0,94,94,match
Yellow fever,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/b2f4f9c5-6d1a-456c-9a67-1f47e9816044,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,1,16541001 Yellow Fever (599 codes),2,Yellow fever Additional Context Immunization Codes (21 codes) | Yellow fever Additional Context Clinical Lab Result Codes (1 codes),0,,599,22,621,621,match
Zika Virus Disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/2236d7c1-2778-4f1e-bfda-73730632896e,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,1,3928002 Zika Virus Disease (1720 codes),1,Zika Virus Disease Additional Context Symptom Codes (4 codes),0,,1720,4,1724,1724,match
